Date,WL,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home,Week
8/31/14,W,38,Utah St.,7,"Knoxville, TN",,2014,Tennessee,University of Tennessee: Knoxville,1,1
8/31/14,W,47,Alabama A&M,13,"Greensboro, NC",,2014,North Carolina A&T,North Carolina Agricultural and Technical State University,1,1
8/31/14,L,13,North Carolina A&T,47,"Normal, AL",,2014,Alabama A&M,Alabama Agricultural and Mechanical University,1,1
8/31/14,L,35,Texas Southern,37,"Prairie View, TX",,2014,Prairie View A&M (TX),Prairie View A&M University,1,1
8/31/14,W,37,Prairie View A&M (TX),35,"Houston, TX",,2014,Texas Southern,Texas Southern University,1,1
9/1/14,W,31,Miami (FL),13,"Louisville, KY",,2014,Louisville (KY),University of Louisville,1,1
9/1/14,L,13,Louisville (KY),31,"Miami Gardens, FL",,2014,Miami (FL),University of Miami,0,1
9/4/14,L,23,Arizona,26,"San Antonio, TX",,2014,Texas-San Antonio,University of Texas at San Antonio,1,2
9/4/14,W,26,Texas-San Antonio,23,"Tucson, AZ",,2014,Arizona,University of Arizona,0,2
9/5/14,L,20,Pittsburgh (PA),30,"Chestnut Hill, MA",,2014,Boston College (MA),Boston College,1,2
9/5/14,W,30,Boston College (MA),20,"Pittsburgh, PA",,2014,Pittsburgh (PA),University of Pittsburgh,0,2
9/5/14,W,24,Washington St.,13,"Reno, NV",,2014,Nevada,University of Nevada: Reno,1,2
9/5/14,L,13,Nevada,24,"Pullman, WA",,2014,Washington St.,Washington State University,0,2
9/6/14,W,19,SUNY-Stony Brook (NY),16,"East Hartford, CT",,2014,Connecticut,University of Connecticut,1,2
9/6/14,L,23,South Carolina,33,"Greenville, NC",,2014,East Carolina (NC),East Carolina University,0,2
9/6/14,W,47,Grambling St. (LA),0,"Houston, TX",,2014,Houston (TX),University of Houston,1,2
9/6/14,L,35,UCLA,42,"Memphis, TN",,2014,Memphis (TN),University of Memphis,0,2
9/6/14,L,6,North Texas,43,"Dallas, TX",,2014,Southern Methodist (TX),Southern Methodist University,0,2
9/6/14,L,17,Maryland,24,"Tampa, FL",,2014,South Florida,University of South Florida,1,2
9/6/14,L,24,Navy (MD),31,"Philadelphia, PA",,2014,Temple (PA),Temple University,1,2
9/6/14,L,21,Georgia Tech,38,"New Orleans, LA",,2014,Tulane (LA),Tulane University,1,2
9/6/14,L,7,Oklahoma,52,"Tulsa, OK",,2014,Tulsa (OK),University of Tulsa,1,2
9/6/14,W,73,South Carolina St.,7,"Clemson, SC",,2014,Clemson (SC),Clemson University,1,2
9/6/14,W,34,Troy (AL),17,"Durham, NC",,2014,Duke (NC),Duke University,0,2
9/6/14,W,37,Citadel (SC),12,"Tallahassee, FL",,2014,Florida St.,Florida State University,1,2
9/6/14,W,38,Tulane (LA),21,"Atlanta, GA",,2014,Georgia Tech,Georgia Institute of Technology,0,2
9/6/14,W,66,Murray St. (KY),21,"Louisville, KY",,2014,Louisville (KY),University of Louisville,1,2
9/6/14,W,41,Florida A&M,7,"Miami Gardens, FL",,2014,Miami (FL),University of Miami,1,2
9/6/14,W,31,San Diego St. (CA),27,"Chapel Hill, NC",,2014,North Carolina,North Carolina State University,1,2
9/6/14,W,46,Old Dominion (VA),34,"Raleigh, NC",,2014,North Carolina St.,University of North Carolina at Chapel Hill,1,2
9/6/14,W,45,Richmond (VA),13,"Charlottesville, VA",,2014,Virginia,University of Virginia,1,2
9/6/14,W,35,Ohio St.,21,"Blacksburg, VA",,2014,Virginia Tech,Virginia Polytechnic Institute & State University,0,2
9/6/14,W,23,Gardner-Webb (NC),7,"Winston-Salem, NC",,2014,Wake Forest (NC),Wake Forest University,1,2
9/6/14,W,70,Northwestern St. (LA),6,"Waco, TX",,2014,Baylor (TX),Baylor University,1,2
9/6/14,L,28,Kansas St.,32,"Ames, IA",,2014,Iowa St.,Iowa State University,1,2
9/6/14,W,34,Southeast Missouri St.,28,"Lawrence, KS",,2014,Kansas,University of Kansas,1,2
9/6/14,W,32,Iowa St.,28,"Manhattan, KS",,2014,Kansas St.,Kansas State University,0,2
9/6/14,W,52,Tulsa (OK),7,"Norman, OK",,2014,Oklahoma,University of Oklahoma,0,2
9/6/14,W,40,Missouri St.,23,"Stillwater, OK",,2014,Oklahoma St.,Oklahoma State University,1,2
9/6/14,L,7,Brigham Young (UT),41,"Austin, TX",,2014,Texas,The University of Texas at Austin,1,2
9/6/14,W,30,Texas-El Paso,26,"Lubbock, TX",,2014,Texas Tech,Texas Tech University,0,2
9/6/14,W,54,Towson (MD),0,"Morgantown, WV",,2014,West Virginia,West Virginia University,1,2
9/6/14,W,42,Western Kentucky,34,"Champaign, IL",,2014,Illinois,University of Illinois at Urbana-Champaign,1,2
9/6/14,W,17,Ball St. (IN),13,"Iowa City, IA",,2014,Iowa,University of Iowa,1,2
