WL,Date,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home
W,2013-11-23,23,Brigham Young (UT),13,"South Bend, IN",,2013,Notre Dame (IN),University of Notre Dame,1
W,2013-08-31,19,Brigham Young (UT),16,"Charlottesville, VA",,2013,Virginia,University of Virginia,1
L,2013-09-07,21,Brigham Young (UT),40,"Austin, TX",,2013,Texas,The University of Texas at Austin,0
W,2013-11-09,27,Brigham Young (UT),17,"Madison, WI",,2013,Wisconsin,University of Wisconsin-Madison,1
L,2013-09-27,10,Brigham Young (UT),37,"Murfreesboro, TN",,2013,Middle Tennessee St.,Middle Tennessee State University,0
L,2013-08-31,16,Virginia,19,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,0
W,2013-09-07,40,Texas,21,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,1
L,2013-09-21,13,Utah,20,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,1
W,2013-09-27,37,Middle Tennessee St.,10,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,1
W,2013-10-04,31,Utah St.,14,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,0
W,2013-10-12,38,Georgia Tech,20,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,1
W,2013-10-19,47,Houston (TX),46,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,0
W,2013-10-25,37,Boise St. (ID),20,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,1
L,2013-11-09,17,Wisconsin,27,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,0
W,2013-11-16,59,Idaho St.,13,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,1
L,2013-11-23,13,Notre Dame (IN),23,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,0
W,2013-11-30,28,Nevada,23,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,0
L,2013-12-27,16,Washington,31,"Provo, UT",,2013,Brigham Young (UT),Brigham Young University,1
