"","Team","Opponent","ScoreOff","ScoreDef","TotYardsOff","TotPlaysOff","YdsPlayOff","PassingOff","CmpAttOff","YdsPassOff","RushingOff","RushesOff","YdsRushOff","FirstDownOff","PassOff","RushOff","PenaltyOff","PenaltiesOff","YdsOff","TurnoversOff","FumLostOff","IntThrownOff","TotYardsDef","TotPlaysDef","YdsPlayDef","PassingDef","CmpAttDef","YdsPassDef","RushingDef","RushesDef","YdsRushDef","FirstDownDef","PassDef","RushDef","PenaltyDef","PenaltiesDef","YdsDef","TurnoversDef","FumLostDef","IntThrownDef"
"AC","AC","GAST","37","38","498","76","6.6","403","30-40","10.1","95","36","2.6","26","18","4","4","9","86","1","0","1","566","82","6.9","413","31-49","8.4","153","33","4.6","33","20","10","3","12","99","3","1","2"
"GAST","GAST","AC","38","37","566","82","6.9","413","31-49","8.4","153","33","4.6","33","20","10","3","12","99","3","1","2","498","76","6.6","403","30-40","10.1","95","36","2.6","26","18","4","4","9","86","1","0","1"
"HOW","HOW","AKR","14","41","216","77","2.8","68","12-26","2.6","148","51","2.9","15","9","3","3","5","48","1","1","0","513","72","7.1","396","27-43","9.2","117","29","4.0","24","7","15","2","7","70","0","0","0"
"AKR","AKR","HOW","41","14","513","72","7.1","396","27-43","9.2","117","29","4.0","24","7","15","2","7","70","0","0","0","216","77","2.8","68","12-26","2.6","148","51","2.9","15","9","3","3","5","48","1","1","0"
"WEBST","WEBST","AZST","14","45","308","61","5.0","156","14-29","5.4","152","32","4.8","14","8","5","1","9","74","0","0","0","570","84","6.8","303","24-39","7.8","267","45","5.9","32","20","9","3","4","30","0","0","0"
"AZST","AZST","WEBST","45","14","570","84","6.8","303","24-39","7.8","267","45","5.9","32","20","9","3","4","30","0","0","0","308","61","5.0","156","14-29","5.4","152","32","4.8","14","8","5","1","9","74","0","0","0"
"CHAT","CHAT","CMI","16","20","256","53","4.8","150","13-24","6.3","106","29","3.7","14","7","6","1","5","54","4","0","4","323","72","4.5","173","15-26","6.7","150","46","3.3","20","9","9","2","7","55","1","1","0"
"CMI","CMI","CHAT","20","16","323","72","4.5","173","15-26","6.7","150","46","3.3","20","9","9","2","7","55","1","1","0","256","53","4.8","150","13-24","6.3","106","29","3.7","14","7","6","1","5","54","4","0","4"
"WAKE","WAKE","LAMON","10","17","94","49","1.9","97","12-22","4.4","-3","27","-0.1","5","3","2","0","8","51","1","0","1","352","85","4.1","189","23-41","4.6","163","44","3.7","21","9","11","1","5","25","1","1","0"
"LAMON","LAMON","WAKE","17","10","352","85","4.1","189","23-41","4.6","163","44","3.7","21","9","11","1","5","25","1","1","0","94","49","1.9","97","12-22","4.4","-3","27","-0.1","5","3","2","0","8","51","1","0","1"
"EIL","EIL","MN","20","42","409","96","4.3","310","32-57","5.4","99","39","2.5","27","15","10","2","6","28","3","2","1","338","58","5.8","156","10-18","8.7","182","40","4.6","18","6","11","1","5","50","1","1","0"
"MN","MN","EIL","42","20","338","58","5.8","156","10-18","8.7","182","40","4.6","18","6","11","1","5","50","1","1","0","409","96","4.3","310","32-57","5.4","99","39","2.5","27","15","10","2","6","28","3","2","1"
"BOISE","BOISE","MS","13","35","399","85","4.7","264","36-48","5.5","135","37","3.6","26","12","10","4","9","72","4","0","4","458","70","6.5","387","25-36","10.8","71","34","2.1","22","13","6","3","14","78","3","0","3"
"MS","MS","BOISE","35","13","458","70","6.5","387","25-36","10.8","71","34","2.1","22","13","6","3","14","78","3","0","3","399","85","4.7","264","36-48","5.5","135","37","3.6","26","12","10","4","9","72","4","0","4"
"CAPOLY","CAPOLY","NMST","10","28","265","56","4.7","6","2-7","0.9","259","49","5.3","14","0","13","1","4","21","2","1","1","315","74","4.3","118","18-27","4.4","197","47","4.2","21","8","12","1","3","50","1","0","1"
"NMST","NMST","CAPOLY","28","10","315","74","4.3","118","18-27","4.4","197","47","4.2","21","8","12","1","3","50","1","0","1","265","56","4.7","6","2-7","0.9","259","49","5.3","14","0","13","1","4","21","2","1","1"
"PRESBY","PRESBY","NIL","3","55","127","49","2.6","58","10-18","3.2","69","31","2.2","6","3","2","1","2","12","3","2","1","635","109","5.8","211","19-32","6.6","424","77","5.5","36","10","26","0","6","55","0","0","0"
"NIL","NIL","PRESBY","55","3","635","109","5.8","211","19-32","6.6","424","77","5.5","36","10","26","0","6","55","0","0","0","127","49","2.6","58","10-18","3.2","69","31","2.2","6","3","2","1","2","12","3","2","1"
"RUT","RUT","WAST","41","38","496","70","7.1","281","16-27","10.4","215","43","5.0","22","10","11","1","8","78","1","0","1","538","70","7.7","532","40-56","9.5","6","14","0.4","22","18","1","3","9","77","2","1","1"
"WAST","WAST","RUT","38","41","538","70","7.7","532","40-56","9.5","6","14","0.4","22","18","1","3","9","77","2","1","1","496","70","7.1","281","16-27","10.4","215","43","5.0","22","10","11","1","8","78","1","0","1"
"ND","ND","SJST","10","42","244","52","4.7","126","14-20","6.3","118","32","3.7","12","5","6","1","10","61","2","1","1","406","66","6.2","256","23-26","9.8","150","40","3.8","23","11","10","2","4","40","0","0","0"
"SJST","SJST","ND","42","10","406","66","6.2","256","23-26","9.8","150","40","3.8","23","11","10","2","4","40","0","0","0","244","52","4.7","126","14-20","6.3","118","32","3.7","12","5","6","1","10","61","2","1","1"
"TEMP","TEMP","VAND","37","7","351","81","4.3","207","23-36","5.8","144","45","3.2","17","9","9","0","3","23","2","2","0","278","63","4.4","224","16-34","6.6","54","29","1.9","13","11","2","0","7","66","7","4","3"
"VAND","VAND","TEMP","7","37","278","63","4.4","224","16-34","6.6","54","29","1.9","13","11","2","0","7","66","7","4","3","351","81","4.3","207","23-36","5.8","144","45","3.2","17","9","9","0","3","23","2","2","0"
"TXAM","TXAM","SC","52","28","680","99","6.9","511","44-60","8.5","169","39","4.3","39","28","10","1","8","95","0","0","0","433","62","7.0","366","20-40","9.2","67","22","3.0","23","14","5","4","4","21","1","0","1"
"SC","SC","TXAM","28","52","433","62","7.0","366","20-40","9.2","67","22","3.0","23","14","5","4","4","21","1","0","1","680","99","6.9","511","44-60","8.5","169","39","4.3","39","28","10","1","8","95","0","0","0"
"TLN","TLN","TLS","31","36","516","74","7.0","262","22-44","6.0","254","30","8.5","22","13","6","3","9","96","2","1","1","592","89","6.7","438","31-53","8.3","154","36","4.3","30","20","7","3","9","90","2","0","2"
"TLS","TLS","TLN","36","31","592","89","6.7","438","31-53","8.3","154","36","4.3","30","20","7","3","9","90","2","0","2","516","74","7.0","262","22-44","6.0","254","30","8.5","22","13","6","3","9","96","2","1","1"
"IDST","IDST","UT","14","56","337","84","4.0","158","21-40","4.0","179","44","4.1","21","9","7","5","7","42","0","0","0","589","78","7.6","351","22-32","11.0","238","46","5.2","27","16","11","0","7","54","1","1","0"
"UT","UT","IDST","56","14","589","78","7.6","351","22-32","11.0","238","46","5.2","27","16","11","0","7","54","1","1","0","337","84","4.0","158","21-40","4.0","179","44","4.1","21","9","7","5","7","42","0","0","0"
"NVLV","NVLV","AZ","13","58","371","72","5.2","252","22-41","6.1","119","31","3.8","20","14","5","1","7","64","1","0","1","787","94","8.4","434","26-46","9.4","353","48","7.4","32","17","13","2","7","63","0","0","0"
"AZ","AZ","NVLV","58","13","787","94","8.4","434","26-46","9.4","353","48","7.4","32","17","13","2","7","63","0","0","0","371","72","5.2","252","22-41","6.1","119","31","3.8","20","14","5","1","7","64","1","0","1"
"BYU","BYU","CT","35","10","513","73","7.0","308","28-36","8.6","205","37","5.5","27","13","11","3","15","150","2","2","0","355","79","4.5","284","25-48","5.9","71","31","2.3","23","14","3","6","8","90","2","1","1"
"CT","CT","BYU","10","35","355","79","4.5","284","25-48","5.9","71","31","2.3","23","14","3","6","8","90","2","1","1","513","73","7.0","308","28-36","8.6","205","37","5.5","27","13","11","3","15","150","2","2","0"
"COST","COST","CO","31","17","400","68","5.9","134","13-23","5.8","266","45","5.9","27","10","14","3","6","63","1","1","0","375","73","5.1","241","24-39","6.2","134","34","3.9","22","11","8","3","6","65","0","0","0"
"CO","CO","COST","17","31","375","73","5.1","241","24-39","6.2","134","34","3.9","22","11","8","3","6","65","0","0","0","400","68","5.9","134","13-23","5.8","266","45","5.9","27","10","14","3","6","63","1","1","0"
"JVLST","JVLST","MIST","7","45","244","62","3.9","222","18-37","6.0","22","25","0.9","14","10","4","0","7","64","3","0","3","565","74","7.6","354","18-24","14.8","211","50","4.2","25","11","11","3","2","13","0","0","0"
"MIST","MIST","JVLST","45","7","565","74","7.6","354","18-24","14.8","211","50","4.2","25","11","11","3","2","13","0","0","0","244","62","3.9","222","18-37","6.0","22","25","0.9","14","10","4","0","7","64","3","0","3"
"NOVA","NOVA","SYR","26","27","389","87","4.5","199","16-27","7.4","190","60","3.2","25","12","13","0","11","93","0","0","0","320","69","4.6","184","22-35","5.3","136","34","4.0","21","12","4","5","7","55","0","0","0"
"SYR","SYR","NOVA","27","26","320","69","4.6","184","22-35","5.3","136","34","4.0","21","12","4","5","7","55","0","0","0","389","87","4.5","199","16-27","7.4","190","60","3.2","25","12","13","0","11","93","0","0","0"
"TXSA","TXSA","HOU","27","7","263","74","3.6","121","15-24","5.0","142","50","2.8","17","5","12","0","14","115","1","1","0","208","73","2.8","234","25-50","4.7","-26","23","-1.1","18","10","4","4","9","47","6","2","4"
"HOU","HOU","TXSA","7","27","208","73","2.8","234","25-50","4.7","-26","23","-1.1","18","10","4","4","9","47","6","2","4","263","74","3.6","121","15-24","5.0","142","50","2.8","17","5","12","0","14","115","1","1","0"
"BGSU","BGSU","WKY","31","59","465","71","6.5","314","25-36","8.7","151","35","4.3","27","18","7","2","11","96","0","0","0","702","97","7.2","569","46-56","10.2","133","41","3.2","40","29","9","2","7","66","0","0","0"
"WKY","WKY","BGSU","59","31","702","97","7.2","569","46-56","10.2","133","41","3.2","40","29","9","2","7","66","0","0","0","465","71","6.5","314","25-36","8.7","151","35","4.3","27","18","7","2","11","96","0","0","0"
"NICHST","NICHST","AF","16","44","263","61","4.3","200","18-31","6.5","63","30","2.1","18","11","4","3","6","29","0","0","0","558","79","7.1","19","3-6","3.2","539","73","7.4","27","1","26","0","9","109","0","0","0"
"AF","AF","NICHST","44","16","558","79","7.1","19","3-6","3.2","539","73","7.4","27","1","26","0","9","109","0","0","0","263","61","4.3","200","18-31","6.5","63","30","2.1","18","11","4","3","6","29","0","0","0"
"WV","WV","AL","23","33","393","69","5.7","365","29-45","8.1","28","24","1.2","22","17","5","0","6","55","0","0","0","538","82","6.6","250","24-33","7.6","288","49","5.9","30","14","13","3","7","49","1","0","1"
"AL","AL","WV","33","23","538","82","6.6","250","24-33","7.6","288","49","5.9","30","14","13","3","7","49","1","0","1","393","69","5.7","365","29-45","8.1","28","24","1.2","22","17","5","0","6","55","0","0","0"
"TROY","TROY","ALBIRM","10","48","272","68","4.0","201","21-31","6.5","71","37","1.9","15","8","6","1","5","57","1","1","0","489","74","6.6","150","12-19","7.9","339","55","6.2","26","5","19","2","3","35","2","1","1"
"ALBIRM","ALBIRM","TROY","48","10","489","74","6.6","150","12-19","7.9","339","55","6.2","26","5","19","2","3","35","2","1","1","272","68","4.0","201","21-31","6.5","71","37","1.9","15","8","6","1","5","57","1","1","0"
"MTST","MTST","ARST","10","37","228","70","3.3","142","14-26","5.5","86","44","2.0","10","4","6","0","7","44","2","0","2","558","78","7.2","264","20-30","8.8","294","48","6.1","23","10","13","0","4","36","2","2","0"
"ARST","ARST","MTST","37","10","558","78","7.2","264","20-30","8.8","294","48","6.1","23","10","13","0","4","36","2","2","0","228","70","3.3","142","14-26","5.5","86","44","2.0","10","4","6","0","7","44","2","0","2"
"AR","AR","AUB","21","45","328","60","5.5","175","18-31","5.6","153","29","5.3","20","9","9","2","5","50","1","0","1","595","70","8.5","293","16-22","13.3","302","48","6.3","27","11","15","1","6","61","1","1","0"
"AUB","AUB","AR","45","21","595","70","8.5","293","16-22","13.3","302","48","6.3","27","11","15","1","6","61","1","1","0","328","60","5.5","175","18-31","5.6","153","29","5.3","20","9","9","2","5","50","1","0","1"
"COLG","COLG","BALLST","10","30","227","54","4.2","137","14-26","5.3","90","28","3.2","9","4","5","0","4","58","0","0","0","514","85","6.0","203","20-32","6.3","311","53","5.9","29","11","15","3","5","60","1","0","1"
"BALLST","BALLST","COLG","30","10","514","85","6.0","203","20-32","6.3","311","53","5.9","29","11","15","3","5","60","1","0","1","227","54","4.2","137","14-26","5.3","90","28","3.2","9","4","5","0","4","58","0","0","0"
"BETH","BETH","FLINT","14","12","239","60","4.0","149","8-17","8.8","90","43","2.1","11","5","6","0","10","86","0","0","0","186","65","2.9","143","16-33","4.3","43","32","1.3","12","5","4","3","8","47","0","0","0"
"FLINT","FLINT","BETH","12","14","186","65","2.9","143","16-33","4.3","43","32","1.3","12","5","4","3","8","47","0","0","0","239","60","4.0","149","8-17","8.8","90","43","2.1","11","5","6","0","10","86","0","0","0"
"BC","BC","MA","30","7","511","86","5.9","173","17-25","6.9","338","61","5.5","27","9","17","1","7","55","1","0","1","202","44","4.6","147","9-22","6.7","55","22","2.5","9","4","4","1","4","23","1","0","1"
"MA","MA","BC","7","30","202","44","4.6","147","9-22","6.7","55","22","2.5","9","4","4","1","4","23","1","0","1","511","86","5.9","173","17-25","6.9","338","61","5.5","27","9","17","1","7","55","1","0","1"
"DUQU","DUQU","BUF","28","38","373","70","5.3","322","18-37","8.7","51","33","1.5","18","11","5","2","3","45","1","1","0","472","85","5.6","298","25-36","8.3","174","49","3.6","26","14","10","2","3","31","2","1","1"
"BUF","BUF","DUQU","38","28","472","85","5.6","298","25-36","8.3","174","49","3.6","26","14","10","2","3","31","2","1","1","373","70","5.3","322","18-37","8.7","51","33","1.5","18","11","5","2","3","45","1","1","0"
"CA","CA","NWEST","31","24","414","84","4.9","300","23-39","7.7","114","45","2.5","23","13","10","0","6","59","2","0","2","354","80","4.4","246","24-44","5.6","108","36","3.0","22","10","11","1","1","0","2","0","2"
"NWEST","NWEST","CA","24","31","354","80","4.4","246","24-44","5.6","108","36","3.0","22","10","11","1","1","0","2","0","2","414","84","4.9","300","23-39","7.7","114","45","2.5","23","13","10","0","6","59","2","0","2"
"ELON","ELON","DUKE","13","52","328","69","4.8","190","19-38","5.0","138","31","4.5","17","10","7","0","4","21","0","0","0","567","86","6.6","292","28-42","7.0","275","44","6.3","31","14","17","0","2","15","0","0","0"
"DUKE","DUKE","ELON","52","13","567","86","6.6","292","28-42","7.0","275","44","6.3","31","14","17","0","2","15","0","0","0","328","69","4.8","190","19-38","5.0","138","31","4.5","17","10","7","0","4","21","0","0","0"
"NCC","NCC","ECAR","7","52","174","53","3.3","104","13-22","4.7","70","31","2.3","10","5","5","0","10","91","1","1","0","582","74","7.9","374","33-46","8.1","208","28","7.4","32","19","9","4","8","72","2","1","1"
"ECAR","ECAR","NCC","52","7","582","74","7.9","374","33-46","8.1","208","28","7.4","32","19","9","4","8","72","2","1","1","174","53","3.3","104","13-22","4.7","70","31","2.3","10","5","5","0","10","91","1","1","0"
"MORGST","MORGST","EMI","28","31","479","69","6.9","269","18-28","9.6","210","41","5.1","20","8","11","1","9","80","1","1","0","391","86","4.5","99","18-30","3.3","292","56","5.2","30","8","20","2","4","30","0","0","0"
"EMI","EMI","MORGST","31","28","391","86","4.5","99","18-30","3.3","292","56","5.2","30","8","20","2","4","30","0","0","0","479","69","6.9","269","18-28","9.6","210","41","5.1","20","8","11","1","9","80","1","1","0"
"FLST","FLST","OKST","37","31","476","71","6.7","370","25-40","9.3","106","31","3.4","23","12","7","4","8","71","2","0","2","364","70","5.2","203","15-28","7.3","161","42","3.8","22","9","9","4","7","70","2","1","1"
"OKST","OKST","FLST","31","37","364","70","5.2","203","15-28","7.3","161","42","3.8","22","9","9","4","7","70","2","1","1","476","71","6.7","370","25-40","9.3","106","31","3.4","23","12","7","4","8","71","2","0","2"
"CLEM","CLEM","GA","21","45","291","76","3.8","189","17-32","5.9","102","44","2.3","15","6","7","2","3","40","1","0","1","459","67","6.9","131","18-26","5.0","328","41","8.0","22","7","13","2","8","65","1","1","0"
"GA","GA","CLEM","45","21","459","67","6.9","131","18-26","5.0","328","41","8.0","22","7","13","2","8","65","1","1","0","291","76","3.8","189","17-32","5.9","102","44","2.3","15","6","7","2","3","40","1","0","1"
"WOFF","WOFF","GATECH","26","31","326","60","5.4","55","7-13","4.2","271","47","5.8","16","3","12","1","5","46","0","0","0","508","59","8.6","282","11-16","17.6","226","43","5.3","21","9","12","0","5","50","0","0","0"
"GATECH","GATECH","WOFF","31","26","508","59","8.6","282","11-16","17.6","226","43","5.3","21","9","12","0","5","50","0","0","0","326","60","5.4","55","7-13","4.2","271","47","5.8","16","3","12","1","5","46","0","0","0"
"YNGST","YNGST","IL","17","28","380","83","4.6","177","11-24","7.4","203","59","3.4","19","4","13","2","5","25","0","0","0","363","60","6.1","285","24-38","7.5","78","22","3.5","14","12","2","0","7","55","1","1","0"
"IL","IL","YNGST","28","17","363","60","6.1","285","24-38","7.5","78","22","3.5","14","12","2","0","7","55","1","1","0","380","83","4.6","177","11-24","7.4","203","59","3.4","19","4","13","2","5","25","0","0","0"
"INST","INST","IN","10","28","170","57","3.0","140","17-33","4.2","30","24","1.3","10","7","2","1","2","22","0","0","0","566","87","6.5","111","11-18","6.2","455","69","6.6","29","4","24","1","4","30","2","1","1"
"IN","IN","INST","28","10","566","87","6.5","111","11-18","6.2","455","69","6.6","29","4","24","1","4","30","2","1","1","170","57","3.0","140","17-33","4.2","30","24","1.3","10","7","2","1","2","22","0","0","0"
"NIA","NIA","IA","54","0","405","62","6.5","380","17-37","10.3","25","25","1.0","13","12","1","0","16","128","2","0","2","401","77","5.2","250","31-41","6.1","151","36","4.2","26","11","9","6","4","35","1","1","0"
"IA","IA","NIA","0","54","401","77","5.2","250","31-41","6.1","151","36","4.2","26","11","9","6","4","35","1","1","0","405","62","6.5","380","17-37","10.3","25","25","1.0","13","12","1","0","16","128","2","0","2"
"SFA","SFA","KSST","16","55","294","60","4.9","225","24-39","5.8","69","21","3.3","14","11","3","0","10","69","1","1","0","478","81","5.9","238","20-30","7.9","240","51","4.7","34","13","18","3","3","15","1","0","1"
"KSST","KSST","SFA","55","16","478","81","5.9","238","20-30","7.9","240","51","4.7","34","13","18","3","3","15","1","0","1","294","60","4.9","225","24-39","5.8","69","21","3.3","14","11","3","0","10","69","1","1","0"
"TNMART","TNMART","KY","14","59","398","81","4.9","215","23-34","6.3","183","47","3.9","25","13","10","2","7","51","5","3","2","656","61","10.8","422","22-33","12.8","234","28","8.4","24","13","8","3","6","59","0","0","0"
"KY","KY","TNMART","59","14","656","61","10.8","422","22-33","12.8","234","28","8.4","24","13","8","3","6","59","0","0","0","398","81","4.9","215","23-34","6.3","183","47","3.9","25","13","10","2","7","51","5","3","2"
"WI","WI","LAST","24","28","318","63","5.0","50","8-24","2.1","268","39","6.9","14","3","10","1","3","26","2","0","2","365","68","5.4","239","9-21","11.4","126","47","2.7","17","8","8","1","7","50","1","1","0"
"LAST","LAST","WI","28","24","365","68","5.4","239","9-21","11.4","126","47","2.7","17","8","8","1","7","50","1","1","0","318","63","5.0","50","8-24","2.1","268","39","6.9","14","3","10","1","3","26","2","0","2"
"SOUTH","SOUTH","LALAF","6","45","279","72","3.9","202","20-40","5.1","77","32","2.4","14","10","3","1","5","35","0","0","0","512","77","6.6","264","24-36","7.3","248","41","6.0","28","13","14","1","4","30","2","0","2"
"LALAF","LALAF","SOUTH","45","6","512","77","6.6","264","24-36","7.3","248","41","6.0","28","13","14","1","4","30","2","0","2","279","72","3.9","202","20-40","5.1","77","32","2.4","14","10","3","1","5","35","0","0","0"
"MARSH","MARSH","MIAOH","42","27","432","68","6.4","261","20-32","8.2","171","36","4.8","20","13","4","3","9","98","1","1","0","418","85","4.9","318","24-49","6.5","100","36","2.8","22","11","7","4","12","107","1","0","1"
"MIAOH","MIAOH","MARSH","27","42","418","85","4.9","318","24-49","6.5","100","36","2.8","22","11","7","4","12","107","1","0","1","432","68","6.4","261","20-32","8.2","171","36","4.8","20","13","4","3","9","98","1","1","0"
"JMU","JMU","MD","7","51","302","81","3.7","141","16-37","3.8","161","44","3.7","16","5","9","2","9","102","3","1","2","471","85","5.5","186","18-35","5.3","285","50","5.7","30","11","16","3","5","35","1","0","1"
"MD","MD","JMU","51","7","471","85","5.5","186","18-35","5.3","285","50","5.7","30","11","16","3","5","35","1","0","1","302","81","3.7","141","16-37","3.8","161","44","3.7","16","5","9","2","9","102","3","1","2"
"AP","AP","MEM","0","63","146","50","2.9","30","6-16","1.9","116","34","3.4","8","1","6","1","9","61","2","1","1","545","82","6.6","242","20-27","9.0","303","55","5.5","28","10","14","4","6","55","2","1","1"
"MEM","MEM","AP","63","0","545","82","6.6","242","20-27","9.0","303","55","5.5","28","10","14","4","6","55","2","1","1","146","50","2.9","30","6-16","1.9","116","34","3.4","8","1","6","1","9","61","2","1","1"
"APPST","APPST","MI","14","52","280","69","4.1","127","17-33","3.8","153","36","4.3","17","6","9","2","8","69","0","0","0","560","55","10.2","210","16-19","11.1","350","36","9.7","24","10","12","2","4","44","1","0","1"
"MI","MI","APPST","52","14","560","55","10.2","210","16-19","11.1","350","36","9.7","24","10","12","2","4","44","1","0","1","280","69","4.1","127","17-33","3.8","153","36","4.3","17","6","9","2","8","69","0","0","0"
"SAVST","SAVST","MIDTN","7","61","229","66","3.5","84","15-31","2.7","145","35","4.1","13","4","8","1","10","73","3","2","1","519","66","7.9","291","17-20","14.6","228","46","5.0","22","8","13","1","9","70","3","2","1"
"MIDTN","MIDTN","SAVST","61","7","519","66","7.9","291","17-20","14.6","228","46","5.0","22","8","13","1","9","70","3","2","1","229","66","3.5","84","15-31","2.7","145","35","4.1","13","4","8","1","10","73","3","2","1"
"SMS","SMS","MSST","0","49","283","75","3.8","212","20-42","5.0","71","33","2.2","15","6","8","1","6","37","3","1","2","550","78","7.1","349","23-34","10.3","201","44","4.6","29","20","9","0","3","30","2","1","1"
"MSST","MSST","SMS","49","0","550","78","7.1","349","23-34","10.3","201","44","4.6","29","20","9","0","3","30","2","1","1","283","75","3.8","212","20-42","5.0","71","33","2.2","15","6","8","1","6","37","3","1","2"
"SDST","SDST","MO","18","38","365","64","5.7","246","23-32","7.7","119","32","3.7","15","10","4","1","5","25","3","1","2","393","60","6.6","178","13-21","8.5","215","39","5.5","19","6","13","0","5","27","0","0","0"
"MO","MO","SDST","38","18","393","60","6.6","178","13-21","8.5","215","39","5.5","19","6","13","0","5","27","0","0","0","365","64","5.7","246","23-32","7.7","119","32","3.7","15","10","4","1","5","25","3","1","2"
"FLATL","FLATL","NE","7","55","200","60","3.3","95","11-30","3.2","105","30","3.5","13","5","7","1","3","22","0","0","0","784","92","8.5","286","17-35","8.2","498","57","8.7","35","11","24","0","6","60","0","0","0"
